street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
"Ved Volden 5, 5. TV",København K,1425,3,91,1938,4000000.0,23-05-2017
"Rådhusstræde 4C, 1",København K,1466,3,105,1796,4895000.0,18-05-2017
"Store Kongensgade 112A, 3",København K,1264,2,135,1860,250000.0,15-05-2017
"Amaliegade 13G, 2",København K,1256,3,98,1948,7375000.0,15-05-2017
"Borgergade 144, 3. TH",København K,1300,3,101,1854,5825000.0,10-05-2017
"Nørre Søgade 9A, 1. TH",København K,1370,3,107,1882,1126250.0,10-05-2017
"Wildersgade 22, ST",København K,1408,3,88,1858,1556700.0,09-05-2017
"Toldbodgade 10A, 1",København K,1253,5,184,1862,3750000.0,08-05-2017
"Andreas Bjørns Gade 4, 3. TH",København K,1428,2,54,1901,1700000.0,05-05-2017
"Sølvgade 15, 4. TH",København K,1307,3,81,1957,4215000.0,04-05-2017
"Linnésgade 16A, 1",København K,1361,5,155,1880,6300000.0,04-05-2017
"Store Kongensgade 63A, ST. 4",København K,1264,3,98,1932,1780000.0,03-05-2017
"Peder Skrams Gade 28, 2. TV",København K,1054,3,76,1870,4080000.0,03-05-2017
"Brobergsgade 14, 1. TV",København K,1427,2,50,1902,2750000.0,02-05-2017
"Sølvgade 13, 2. TV",København K,1307,3,73,1957,3150000.0,01-05-2017
"Ny Adelgade 9, 2. TH",København K,1104,3,70,1800,1950000.0,01-05-2017
"Lavendelstræde 9, 2. TV",København K,1462,2,66,1799,1550000.0,01-05-2017
"Åbenrå 10, 2. 5",København K,1124,2,70,1972,1650000.0,01-05-2017
"Grønnegade 31, 3. TV",København K,1107,2,49,1741,1200000.0,01-05-2017
"Badstuestræde 16, 2",København K,1209,4,97,1797,2700000.0,01-05-2017
"Nørre Voldgade 70, 4",København K,1358,4,99,1677,1870000.0,28-04-2017
"Fredericiagade 25, 5. 1",København K,1310,3,118,1968,3150000.0,27-04-2017
"Sølvgade 19, 2. MF",København K,1307,2,49,1806,2425000.0,27-04-2017
"David Balfours Gade 3, ST. TV",København K,1402,2,83,2002,3100000.0,27-04-2017
"Vimmelskaftet 36A, 3. TH",København K,1161,3,84,1857,3695000.0,27-04-2017
"Store Kongensgade 110C, 3. TV",København K,1264,3,118,1838,3050000.0,27-04-2017
"Andreas Bjørns Gade 10, 3. TV",København K,1428,2,53,1901,2367000.0,26-04-2017
"Grønnegade 31, 4",København K,1107,2,73,1741,3950000.0,26-04-2017
"Peder Skrams Gade 27, 3. TH",København K,1054,4,112,1900,6250000.0,26-04-2017
"Andreas Bjørns Gade 22, 3. TH",København K,1428,2,55,1901,2900000.0,25-04-2017
"Kronprinsessegade 10, 4. TV",København K,1306,3,101,1803,4350000.0,25-04-2017
"Bartholinsgade 11, 1. TV",København K,1356,2,52,1880,841000.0,25-04-2017
"Sankt Peders Stræde 17, 2",København K,1453,3,106,1809,4125000.0,25-04-2017
"Ved Volden 11, 4. TH",København K,1425,4,97,1938,4900000.0,24-04-2017
Luftmarinegade 38,København K,1432,5,137,2012,2485131.0,24-04-2017
"Gernersgade 5, ST. TV",København K,1319,2,37,1854,1950000.0,21-04-2017
"Ahlefeldtsgade 26, 4. TV",København K,1359,3,82,1888,2115000.0,20-04-2017
"Dronningens Tværgade 36, 4. 1",København K,1302,3,82,1957,1785000.0,20-04-2017
"Nikolajgade 20, 2. TV",København K,1068,4,92,1799,3500000.0,20-04-2017
"Strandgade 12, 3",København K,1401,6,228,1720,7170000.0,19-04-2017
"Store Kongensgade 90, 2. TH",København K,1264,6,158,1880,7500000.0,19-04-2017
"Gothersgade 147, 3. TV",København K,1123,3,68,1877,3622500.0,19-04-2017
Bohlendachvej 30,København K,1437,4,173,1867,14200000.0,18-04-2017
"Naboløs 2, 2. TH",København K,1206,3,90,1797,3595000.0,18-04-2017
"Nørre Voldgade 24, 4. MF",København K,1358,2,77,1812,1657500.0,12-04-2017
"Nørregade 43B, 4. TV",København K,1165,2,75,1810,1487500.0,12-04-2017
"Frederiksberggade 5, 3",København K,1459,3,118,1920,3817000.0,11-04-2017
"Andreas Bjørns Gade 6, 5. TH",København K,1428,2,47,1901,2600000.0,10-04-2017
"Lille Strandstræde 22, 3. 9",København K,1254,2,120,1900,3550000.0,07-04-2017
"Christianshavns Voldgade 17, 1. TH",København K,1424,2,59,1914,2300000.0,07-04-2017
"Strandgade 12, 2",København K,1401,6,274,1720,11995000.0,05-04-2017
"Esplanaden 26, 1",København K,1263,7,217,1882,12900000.0,05-04-2017
"Løngangstræde 21, 4. TH",København K,1468,3,115,1877,5195000.0,04-04-2017
"Amaliegade 13B, 5. TH",København K,1256,1,78,1962,2200000.0,03-04-2017
"Sølvgade 13, 4. TH",København K,1307,3,79,1957,1742500.0,03-04-2017
"Stormgade 10B, ST",København K,1470,3,98,1650,4495000.0,03-04-2017
"Kjeld Langes Gade 2, 4. TV",København K,1367,3,80,1875,3200000.0,31-03-2017
"Nørre Voldgade 10, 1",København K,1358,2,181,1850,6200000.0,31-03-2017
"Nørregade 43B, 4. TH",København K,1165,2,85,1810,1955000.0,31-03-2017
"Kronprinsessegade 46A, 2. TH",København K,1306,4,112,1807,5200000.0,31-03-2017
"Andreas Bjørns Gade 26, 4. TH",København K,1428,2,53,1901,2750000.0,30-03-2017
"Overgaden Neden Vandet 39, 4. TV",København K,1414,5,146,1777,5575000.0,30-03-2017
"Fredericiagade 44, ST",København K,1310,3,67,1750,1750000.0,29-03-2017
"Store Kongensgade 63A, 1. 2",København K,1264,4,146,1932,1825000.0,28-03-2017
"Købmagergade 30, 3",København K,1150,3,131,1730,6250000.0,28-03-2017
"Bredgade 35B, 1",København K,1260,5,135,1796,12800000.0,28-03-2017
"Andreas Bjørns Gade 22, ST. TH",København K,1428,2,57,1901,2470000.0,28-03-2017
"Badstuestræde 18E, 1. TH",København K,1209,5,154,1790,6500000.0,28-03-2017
"Nansensgade 62, 1. TV",København K,1366,2,42,1880,1750000.0,27-03-2017
"Sølvgade 13, 3. MF",København K,1307,2,43,1957,2200000.0,24-03-2017
"Snaregade 6, 1. TH",København K,1205,3,78,1799,2776000.0,24-03-2017
"Dronningens Tværgade 5, 3",København K,1302,6,250,1794,10500000.0,23-03-2017
"Brolæggerstræde 13, 3",København K,1211,5,126,1798,5050000.0,22-03-2017
"Margretheholmsvej 68, 1. TV",København K,1432,4,93,2014,4025000.0,22-03-2017
"Toldbodgade 36B, 6. MF",København K,1253,3,148,1783,4802500.0,21-03-2017
"Nansensgade 96, 4. TH",København K,1366,3,76,1878,2663000.0,21-03-2017
"Store Kongensgade 92B, 4. TV",København K,1264,2,110,1865,7275000.0,20-03-2017
"Store Kongensgade 53, ST. TH",København K,1264,4,153,1860,8250000.0,20-03-2017
Fredericiagade 21D,København K,1310,2,70,1968,2430000.0,17-03-2017
