street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
"Matthæusgade 16, 1. TV",København V,1666,4,76,1882,1800000.0,23-05-2017
"H.C. Andersens Boulevard 40A, 5. TH",København V,1553,4,113,1903,3000000.0,21-05-2017
"Vesterbrogade 36, 3",København V,1620,8,217,1867,7825000.0,18-05-2017
"Flensborggade 7, 4. TH",København V,1669,2,53,1897,1322500.0,18-05-2017
"Eskildsgade 2, 2. TV",København V,1657,5,152,1880,2400000.0,18-05-2017
"Dybbølsgade 13, 4. TH",København V,1721,2,60,1908,1100000.0,11-05-2017
"Sommerstedgade 19, 4. TH",København V,1718,2,57,1904,1495000.0,08-05-2017
"Viktoriagade 8D, 2. TH",København V,1655,3,79,1860,4125000.0,08-05-2017
"Puggaardsgade 14, 2. TH",København V,1573,3,105,1917,1907500.0,08-05-2017
"Valdemarsgade 66, 3. TV",København V,1665,2,52,1900,2625000.0,04-05-2017
"Vesterbrogade 106B, ST. TH",København V,1620,3,81,1884,3195000.0,03-05-2017
"Esbern Snares Gade 4, 1. TV",København V,1725,2,58,1904,1755000.0,28-04-2017
"Halmtorvet 29B, 5. TH",København V,1700,4,125,1908,2550000.0,27-04-2017
"Puggaardsgade 8, 5. TV",København V,1573,3,101,1908,4220000.0,26-04-2017
"Esbern Snares Gade 4, 4. TH",København V,1725,3,85,1904,4150000.0,25-04-2017
"Matthæusgade 50, 3. 18",København V,1666,1,39,1971,800000.0,24-04-2017
"Oehlenschlægersgade 23, ST. TH",København V,1663,3,72,1883,2750000.0,24-04-2017
"Enghavevej 21, 2. TV",København V,1674,2,48,1895,2185000.0,23-04-2017
"Istedgade 1, 5",København V,1650,4,110,1886,1995000.0,21-04-2017
"Sankelmarksgade 17, 3. TH",København V,1676,3,84,1901,1487500.0,20-04-2017
"Arkonagade 16, 1. TH",København V,1726,2,75,1905,4100000.0,19-04-2017
"Matthæusgade 54, 1. 2",København V,1666,2,52,1971,1850000.0,19-04-2017
"Godsbanegade 18, ST. TH",København V,1722,2,55,1902,2100000.0,12-04-2017
"Trommesalen 3B, 2",København V,1614,2,69,1883,3150000.0,12-04-2017
"Esbern Snares Gade 5, ST. TH",København V,1725,4,76,1904,3335000.0,09-04-2017
"Esbern Snares Gade 6, 1. TV",København V,1725,2,58,1904,2650000.0,09-04-2017
"Asger Rygs Gade 4, 2. TH",København V,1727,2,63,1907,1342511.0,07-04-2017
"Enghavevej 31, 5. 47",København V,1674,1,38,1971,1350000.0,07-04-2017
"Asger Rygs Gade 6, 4. TV",København V,1727,2,61,1907,2795000.0,07-04-2017
"Krusågade 35, 2. TV",København V,1719,3,89,1908,646000.0,03-04-2017
"Matthæusgade 50, 4. 29",København V,1666,2,61,1971,1750000.0,02-04-2017
"Vesterbrogade 2D, 3",København V,1620,1,219,1942,6000000.0,31-03-2017
"Flensborggade 25, ST. TV",København V,1669,2,52,1897,1600000.0,30-03-2017
"Havneholmen 38, 3. TV",København V,1561,2,70,2008,3610000.0,29-03-2017
"Halmtorvet 29B, 3. MF",København V,1700,2,86,1908,3800000.0,28-03-2017
"Dannebrogsgade 31, ST. TV",København V,1660,2,62,2003,1275000.0,28-03-2017
"Vesterbrogade 119A, 5",København V,1620,3,96,1899,2700000.0,27-03-2017
"Enghavevej 25, ST. TH",København V,1674,3,87,1895,2595000.0,27-03-2017
"Enghavevej 25, 2. TV",København V,1674,3,83,1895,3150000.0,23-03-2017
"Ny Carlsberg Vej 6, 3. TV",København V,1760,3,86,1905,3375000.0,22-03-2017
"Oehlenschlægersgade 23, 5. TV",København V,1663,3,70,1883,3320000.0,22-03-2017
"Vesterbrogade 104, ST. TH",København V,1620,3,73,1885,2500000.0,22-03-2017
"Eskildsgade 2, 4. TH",København V,1657,3,105,1880,5700000.0,20-03-2017
"Enghavevej 25, 4. TV",København V,1674,3,83,1895,3225000.0,19-03-2017
"Ny Carlsberg Vej 2, ST. TV",København V,1760,3,72,1905,2800000.0,18-03-2017
"Åboulevard 11, 4. TH",København V,1635,4,136,1932,4650000.0,14-03-2017
"Ny Carlsberg Vej 2, 2. TH",København V,1760,4,94,1905,1600000.0,13-03-2017
"H.C. Andersens Boulevard 40, 2. TH",København V,1553,4,147,1903,5450000.0,12-03-2017
Vesterbrogade 116B,København V,1620,4,76,1930,3995000.0,08-03-2017
"Matthæusgade 48A, 4. 403",København V,1666,2,73,1970,2195000.0,06-03-2017
"Enghavevej 29, 1. TH",København V,1674,2,62,1895,1495000.0,06-03-2017
"Enghavevej 5, 2. TV",København V,1674,3,69,1895,2600000.0,03-03-2017
"Sønder Boulevard 53, 4. TV",København V,1720,5,124,1902,5900000.0,03-03-2017
"Rysensteensgade 14, 3. TH",København V,1564,4,117,1908,4460000.0,03-03-2017
"Matthæusgade 48D, 3. 328",København V,1666,2,70,1970,2195000.0,01-03-2017
"Rysensteensgade 16, 3. TH",København V,1564,5,166,1908,5360000.0,28-02-2017
"Matthæusgade 48C, 1. 119",København V,1666,2,70,1970,1995000.0,28-02-2017
"Enghavevej 25, 3. TV",København V,1674,3,83,1895,1800000.0,26-02-2017
"Viktoriagade 10A, 2. TV",København V,1655,3,109,1918,4750000.0,24-02-2017
"Halmtorvet 34, 3. TV",København V,1700,2,50,1897,1500000.0,23-02-2017
"Westend 12, 1. TV",København V,1661,3,72,1904,3410000.0,22-02-2017
"Gyldenløvesgade 21, 1. TV",København V,1600,2,63,1938,2328000.0,21-02-2017
"Enghavevej 15, 4. TV",København V,1674,3,65,1895,2350000.0,19-02-2017
"Havneholmen 84, 2. MF",København V,1561,3,108,2008,5995000.0,17-02-2017
"Brorsonsgade 2, 3. TH",København V,1624,3,73,1885,3120000.0,15-02-2017
"Gammel Kongevej 49, 4. TH",København V,1610,7,176,1873,5200000.0,14-02-2017
"Matthæusgade 48B, 1. 113",København V,1666,2,71,1970,2095000.0,14-02-2017
"Kaalundsgade 4, 2. TV",København V,1664,3,102,1885,4750000.0,14-02-2017
"Krusågade 28, 3. TH",København V,1719,2,63,1906,2895000.0,12-02-2017
"Esbern Snares Gade 3, 1. TV",København V,1725,3,64,1902,3050000.0,12-02-2017
"Enghavevej 13, 5. TV",København V,1674,2,46,1895,1895000.0,10-02-2017
"Enghavevej 15, 1. TV",København V,1674,3,65,1895,2350000.0,10-02-2017
"Enghavevej 9, 5. TV",København V,1674,2,51,1895,2195000.0,09-02-2017
"Sommerstedgade 28, ST. TV",København V,1718,2,59,1906,2250000.0,09-02-2017
"Sønder Boulevard 24, ST. TH",København V,1720,2,43,1877,1837000.0,08-02-2017
"Kingosgade 2, 3. TV",København V,1623,3,80,1884,3598000.0,06-02-2017
"Halmtorvet 29B, 3. TH",København V,1700,2,83,1908,3895000.0,03-02-2017
"H.C. Andersens Boulevard 42, 4. TH",København V,1553,7,246,1904,10000000.0,02-02-2017
"Sommerstedgade 15, 4. TV",København V,1718,2,62,1907,2750000.0,02-02-2017
"Vester Søgade 16, ST. TH",København V,1601,2,48,1974,1560000.0,31-01-2017
"Enghavevej 31, 3. 25",København V,1674,1,38,1971,1350000.0,31-01-2017
"Enghave Plads 23, 2. TH",København V,1670,2,89,1906,4162000.0,31-01-2017
"Halmtorvet 1, 2. TV",København V,1700,6,148,1886,5800000.0,30-01-2017
"Oehlenschlægersgade 30, 5. TV",København V,1663,3,68,1882,2450000.0,30-01-2017
"Godsbanegade 5, 1. TH",København V,1722,2,55,1900,2000000.0,26-01-2017
"Valdemarsgade 1A, 4. TH",København V,1665,2,51,1875,2470000.0,26-01-2017
"Enghave Plads 13, 1. TV",København V,1670,3,94,1903,3735000.0,25-01-2017
"Matthæusgade 48B, 4. 412",København V,1666,2,71,1970,2175000.0,25-01-2017
"Istedgade 71, 2. TH",København V,1650,2,54,1904,2250000.0,24-01-2017
"Puggaardsgade 6, 3. TH",København V,1573,4,117,1908,4998000.0,24-01-2017
"Dannebrogsgade 31, 1. MF",København V,1660,3,90,2003,3650000.0,23-01-2017
"Ingerslevsgade 124, 1. TH",København V,1705,4,102,1907,4150000.0,23-01-2017
"Enghavevej 9, 1. TV",København V,1674,2,51,1895,1000000.0,22-01-2017
"Havneholmen 38, 4. TH",København V,1561,4,137,2008,6650000.0,20-01-2017
"Vester Farimagsgade 29, 3. TV",København V,1606,3,117,1936,2600000.0,20-01-2017
"Westend 14, 3. TH",København V,1661,2,72,1904,1360000.0,19-01-2017
"Matthæusgade 46B, 4. 450",København V,1666,2,68,1970,2500000.0,19-01-2017
"Vesterbrogade 116A, 1. TH",København V,1620,4,163,1930,7000000.0,18-01-2017
"Enghavevej 31, 2. 5",København V,1674,1,38,1971,1301000.0,17-01-2017
"Sønder Boulevard 74, 4. TV",København V,1720,3,83,1900,2875000.0,17-01-2017
"Matthæusgade 48D, 2. 230",København V,1666,1,68,1970,2320000.0,13-01-2017
"Westend 14, 1. TH",København V,1661,3,72,1904,3450000.0,13-01-2017
"Dannebrogsgade 35, 3. TV",København V,1660,2,70,1874,3250000.0,13-01-2017
"Vesterbrogade 114, 1. 1",København V,1620,2,67,1853,2350000.0,13-01-2017
"Arkonagade 15, ST. TH",København V,1726,4,92,1904,3600000.0,13-01-2017
"Vesterbrogade 114, 3. 6",København V,1620,2,68,1853,2195000.0,12-01-2017
"Stampesgade 1, 3. TV",København V,1702,3,82,1886,4200000.0,12-01-2017
"Sønder Boulevard 58, 4. TH",København V,1720,4,99,1898,4900000.0,12-01-2017
"Vesterbrogade 119, 3. TV",København V,1620,5,118,1899,4175000.0,11-01-2017
"Sønder Boulevard 66, 5. TV",København V,1720,2,63,1898,647000.0,10-01-2017
"Flaskegade 11, 5. 3",København V,1799,2,68,2016,2875000.0,10-01-2017
"Sankelmarksgade 19, ST. TV",København V,1676,3,84,1901,4005000.0,05-01-2017
"Ingerslevsgade 112, 3. TV",København V,1705,4,109,1906,4287600.0,04-01-2017
"Værnedamsvej 10, 2. TV",København V,1619,7,172,1899,7000000.0,02-01-2017
"Vester Søgade 14, ST. MF",København V,1601,1,35,1974,1300000.0,01-01-2017
"Vester Farimagsgade 29, 4. TV",København V,1606,3,116,1936,5500000.0,01-01-2017
"Krusågade 32, 4. TH",København V,1719,3,84,1906,3700000.0,31-12-2016
"Vesterbrogade 106B, 3. TV",København V,1620,4,114,1884,4600000.0,29-12-2016
"Enghavevej 9, ST",København V,1674,2,49,1895,1900000.0,29-12-2016
"Flensborggade 15, 3. TV",København V,1669,3,65,1897,2200000.0,29-12-2016
"Puggaardsgade 18, 1. TH",København V,1573,2,87,1917,4025000.0,29-12-2016
"Sønder Boulevard 22, 4. TV",København V,1720,2,40,1877,2170000.0,28-12-2016
Bissensgade 8,København V,1773,6,137,1887,2147000.0,27-12-2016
"Sønder Boulevard 22, 4. TH",København V,1720,2,49,1877,2200000.0,27-12-2016
"Eskildsgade 14, 2",København V,1657,3,89,1884,1950000.0,24-12-2016
"Enghavevej 19, ST",København V,1674,4,90,1895,2875000.0,23-12-2016
"Ny Carlsberg Vej 2, 1. TV",København V,1760,3,73,1905,2725000.0,22-12-2016
"Flaskegade 5, 2. 2",København V,1799,2,68,2016,2895000.0,22-12-2016
"Dybbølsgade 13, 3. TV",København V,1721,2,61,1908,1630000.0,20-12-2016
"Matthæusgade 52, 1. 4",København V,1666,2,60,1971,1005000.0,20-12-2016
"Istedgade 69, 3. TV",København V,1650,2,59,1904,2300000.0,18-12-2016
"Valdemarsgade 32, 1. TV",København V,1665,3,80,1886,3450000.0,14-12-2016
"Tøndergade 24, 5. TV",København V,1752,3,73,1896,3295000.0,14-12-2016
"Haderslevgade 20, 1. TH",København V,1671,2,57,1903,2395000.0,13-12-2016
"Enghavevej 13, 4. TH",København V,1674,2,46,1895,1810000.0,13-12-2016
"Edvard Falcks Gade 4, 1. TH",København V,1569,3,93,2004,4150000.0,13-12-2016
"Puggaardsgade 10, 4. TV",København V,1573,5,134,1908,2550000.0,12-12-2016
"Hedebygade 17A, ST. TV",København V,1754,3,60,1884,1600000.0,10-12-2016
"Enghavevej 15, 1. TH",København V,1674,3,69,1895,1083000.0,09-12-2016
"Sommerstedgade 23, KL",København V,1718,3,81,1904,3545000.0,09-12-2016
"Arkonagade 16, ST. TV",København V,1726,2,59,1905,2550000.0,08-12-2016
"Halmtorvet 58, 3. TH",København V,1700,4,79,1877,3415000.0,08-12-2016
"Sommerstedgade 13, 2. TV",København V,1718,2,63,1907,2875000.0,08-12-2016
"Amerikavej 3A, 4. TV",København V,1756,3,60,1896,2412000.0,08-12-2016
"Vester Søgade 68, 5. TH",København V,1601,2,82,1938,1445000.0,07-12-2016
